iter	Logloss
0	0.6866960852
1	0.6736379844
2	0.6591713884
3	0.6490452511
4	0.6353023141
5	0.6233742771
6	0.6100745513
7	0.600914559
8	0.5905915801
9	0.5864355156
10	0.5800316629
11	0.5749221229
12	0.5699157142
13	0.5617980792
14	0.5579034758
15	0.5506540417
16	0.5435043486
17	0.5366204043
18	0.5326641508
19	0.5278141804
20	0.522360306
21	0.518677436
22	0.5147565623
23	0.5082252675
24	0.502978533
25	0.4974877541
26	0.4934024778
27	0.4890260535
28	0.4829078292
29	0.4795916014
30	0.4758862453
31	0.4703317545
32	0.466353872
33	0.4611561672
34	0.4560794694
35	0.4510446278
36	0.4477582197
37	0.4444471175
38	0.4394419802
39	0.4352613102
40	0.4330418247
41	0.4301833252
42	0.425972023
43	0.42362143
44	0.4193695177
45	0.4153794133
46	0.4129262584
47	0.4098832116
48	0.4061883764
49	0.4034446253
50	0.4000741116
51	0.3960838533
52	0.3939416134
53	0.3916630182
54	0.3853222978
55	0.3831343621
56	0.3795231028
57	0.3771012501
58	0.3752218607
59	0.3720299628
60	0.3690404781
61	0.3657661838
62	0.3631514842
63	0.360580952
64	0.3583960976
65	0.3558694406
66	0.3529412976
67	0.3499953832
68	0.3475982313
69	0.3454757744
70	0.3430390288
71	0.341454289
72	0.3375297045
73	0.3358292633
74	0.3331381051
75	0.3295025411
76	0.3278029042
77	0.3248848677
78	0.3221662271
79	0.3190341846
80	0.3172789591
81	0.3155390659
82	0.3126825282
83	0.3102940719
84	0.3077290026
85	0.3064239557
86	0.3030161428
87	0.3013851236
88	0.2993078946
89	0.2961014188
90	0.2944106449
91	0.2917582391
92	0.2904229935
93	0.2876618024
94	0.2859741974
95	0.2842642693
96	0.2817631881
97	0.2796603725
98	0.2782445263
99	0.2767851786
