iter	Passed	Remaining
0	5	548
1	10	490
2	14	457
3	18	439
4	23	441
5	27	431
6	31	423
7	36	417
8	40	413
9	45	406
10	49	401
11	55	404
12	59	401
13	64	394
14	68	389
15	73	385
16	77	380
17	82	374
18	87	371
19	92	368
20	97	365
21	102	362
22	106	357
23	111	352
24	115	347
25	120	343
26	125	338
27	129	334
28	135	331
29	140	327
30	146	325
31	152	323
32	158	321
33	164	318
34	169	314
35	175	311
36	180	307
37	186	304
38	192	301
39	198	297
40	203	293
41	209	289
42	215	286
43	222	283
44	228	279
45	234	275
46	239	270
47	245	265
48	250	260
49	256	256
50	261	251
51	267	246
52	273	242
53	279	238
54	286	234
55	293	230
56	301	227
57	311	225
58	320	222
59	330	220
60	339	217
61	349	214
62	356	209
63	364	205
64	372	200
65	379	195
66	386	190
67	392	184
68	399	179
69	406	174
70	412	168
71	418	162
72	424	157
73	430	151
74	437	145
75	443	139
76	449	134
77	455	128
78	461	122
79	467	116
80	472	110
81	478	105
82	486	99
83	494	94
84	501	88
85	508	82
86	516	77
87	524	71
88	530	65
89	538	59
90	547	54
91	555	48
92	563	42
93	571	36
94	579	30
95	586	24
96	594	18
97	602	12
98	609	6
99	616	0
